fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
18004,2025-10-13_Olga6/,2-MIX,1.0,28.0,1.0,70.0,4.0,1.0,10.0,64.0,0.0,24.0,0.0,0.0,22.0,14.0,17.0,13.0,16.0,18.0,16.0,13.0,,13.0,,,22.0,5.0,27.0,6.0,7.0,26.0,10.0,5.0,,6.0,,,10.0,14.0,15.0,,,,10.0,0.0,0.0,13.0,,,10.0,,
18005,2025-10-13_Olga6/,2-MIX,8.0,78.0,16.0,107.0,0.0,0.0,14.0,81.0,,6.0,0.0,5.0,13.0,13.0,14.0,13.0,,,13.0,13.0,,14.0,,13.0,9.0,3.0,9.0,6.0,,,9.0,4.0,,15.0,,8.0,27.0,13.0,7.0,,,,2.0,3.0,2.0,14.0,22.0,12.0,29.0,8.0,31.0
18006,2025-10-13_Olga6/,2-MIX,38.0,114.0,7.0,144.0,8.0,1.0,16.0,89.0,1.0,25.0,0.0,3.0,13.0,13.0,13.0,13.0,23.0,13.0,22.0,13.0,32.0,13.0,,13.0,5.0,4.0,11.0,5.0,5.0,31.0,9.0,4.0,12.0,9.0,,22.0,34.0,13.0,5.0,,,,19.0,7.0,1.0,13.0,14.0,13.0,12.0,3.0,31.0
18007,2025-10-13_Olga6/,2-MIX,0.0,30.0,1.0,30.0,0.0,1.0,7.0,18.0,0.0,29.0,0.0,1.0,,13.0,13.0,13.0,,15.0,16.0,13.0,,13.0,,14.0,,12.0,31.0,20.0,,29.0,20.0,12.0,,14.0,,30.0,6.0,15.0,16.0,,,,16.0,0.0,1.0,13.0,,13.0,13.0,,31.0
18008,2025-10-13_Olga6/,2-MIX,24.0,84.0,2.0,99.0,,2.0,14.0,71.0,0.0,10.0,0.0,0.0,14.0,13.0,15.0,13.0,,15.0,14.0,13.0,,13.0,,,6.0,4.0,9.0,9.0,,29.0,12.0,2.0,,10.0,,,38.0,14.0,8.0,,,,7.0,,1.0,14.0,,14.0,10.0,,30.0
18009,2025-10-13_Olga6/,2-MIX,2.0,11.0,0.0,5.0,2.0,0.0,6.0,11.0,1.0,0.0,0.0,1.0,13.0,14.0,,13.0,13.0,,17.0,13.0,14.0,,,13.0,28.0,14.0,,28.0,26.0,,18.0,21.0,30.0,,,31.0,14.0,13.0,13.0,,,,1.0,1.0,0.0,19.0,14.0,,25.0,30.0,
18011,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,13.0,,,,,,,,,,,,31.0,,2.0,14.0,24.0,,,,0.0,4.0,0.0,,13.0,,,25.0,
18012,2025-10-13_Olga6/,2-MIX,2.0,14.0,0.0,7.0,0.0,0.0,6.0,12.0,1.0,13.0,0.0,1.0,14.0,14.0,,14.0,,,15.0,13.0,15.0,13.0,,17.0,26.0,13.0,,25.0,,,13.0,18.0,29.0,15.0,,27.0,1.0,15.0,29.0,,,,3.0,1.0,0.0,14.0,13.0,,23.0,31.0,
18013,2025-10-13_Olga6/,2-MIX,1.0,26.0,0.0,14.0,5.0,1.0,5.0,21.0,1.0,2.0,0.0,1.0,13.0,14.0,,14.0,17.0,15.0,13.0,13.0,13.0,13.0,,13.0,31.0,3.0,,25.0,17.0,29.0,25.0,7.0,31.0,27.0,,31.0,5.0,18.0,14.0,,,,0.0,1.0,0.0,,26.0,,,18.0,
18014,2025-10-13_Olga6/,2-MIX,1.0,12.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,14.0,14.0,,19.0,16.0,,17.0,17.0,34.0,14.0,,,30.0,22.0,,20.0,27.0,,24.0,24.0,10.0,27.0,,,1.0,29.0,15.0,,,,1.0,0.0,0.0,17.0,,,27.0,,
18015,2025-10-13_Olga6/,2-MIX,0.0,34.0,1.0,56.0,1.0,1.0,3.0,39.0,3.0,20.0,0.0,1.0,,14.0,14.0,13.0,26.0,14.0,18.0,13.0,14.0,13.0,,36.0,,6.0,30.0,12.0,18.0,30.0,18.0,7.0,26.0,7.0,,8.0,5.0,22.0,15.0,,,,12.0,3.0,3.0,13.0,14.0,13.0,26.0,28.0,28.0
19001,2025-10-13_Olga6/,2-MIX,3.0,60.0,4.0,31.0,0.0,1.0,5.0,56.0,0.0,3.0,0.0,0.0,14.0,13.0,16.0,13.0,,16.0,17.0,13.0,,13.0,,,19.0,13.0,27.0,20.0,,28.0,21.0,14.0,,26.0,,,10.0,14.0,15.0,,,,1.0,3.0,,15.0,17.0,,29.0,22.0,
19002,2025-10-13_Olga6/,2-MIX,4.0,62.0,0.0,98.0,6.0,,10.0,66.0,2.0,8.0,0.0,3.0,15.0,14.0,,13.0,14.0,,19.0,13.0,14.0,14.0,,13.0,8.0,8.0,,5.0,10.0,,4.0,11.0,29.0,10.0,,15.0,16.0,13.0,10.0,,,,5.0,2.0,1.0,13.0,14.0,13.0,24.0,30.0,31.0
19003,2025-10-13_Olga6/,2-MIX,1.0,17.0,1.0,11.0,0.0,1.0,2.0,13.0,2.0,2.0,0.0,0.0,13.0,13.0,13.0,13.0,,25.0,28.0,14.0,13.0,18.0,,,31.0,7.0,31.0,17.0,,19.0,14.0,16.0,27.0,16.0,,,13.0,13.0,9.0,,,,2.0,1.0,0.0,19.0,14.0,,15.0,30.0,
19004,2025-10-13_Olga6/,2-MIX,2.0,15.0,1.0,11.0,0.0,0.0,4.0,10.0,0.0,1.0,0.0,3.0,14.0,14.0,23.0,13.0,,,17.0,23.0,,25.0,,13.0,23.0,7.0,21.0,7.0,,,16.0,8.0,,19.0,,8.0,9.0,16.0,8.0,,,,2.0,0.0,0.0,13.0,,,19.0,,
19005,2025-10-13_Olga6/,2-MIX,5.0,14.0,0.0,48.0,5.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,15.0,14.0,,13.0,15.0,,21.0,32.0,,13.0,13.0,,24.0,14.0,,13.0,14.0,,23.0,12.0,,13.0,31.0,,0.0,,,,,,8.0,0.0,0.0,13.0,,,22.0,,
19006,2025-10-13_Olga6/,2-MIX,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,,14.0,,,16.0,,,20.0,17.0,14.0,,,,18.0,,,28.0,,,11.0,27.0,30.0,,,5.0,13.0,13.0,,,,0.0,1.0,0.0,,15.0,,,29.0,
19007,2025-10-13_Olga6/,2-MIX,2.0,28.0,0.0,3.0,3.0,1.0,4.0,27.0,0.0,14.0,0.0,0.0,16.0,14.0,,17.0,13.0,14.0,16.0,13.0,,13.0,,,23.0,14.0,,22.0,20.0,30.0,19.0,14.0,,17.0,,,4.0,17.0,19.0,,,,5.0,0.0,1.0,13.0,,18.0,26.0,,26.0
19008,2025-10-13_Olga6/,2-MIX,2.0,29.0,,20.0,5.0,2.0,7.0,15.0,0.0,2.0,0.0,2.0,18.0,14.0,,13.0,17.0,16.0,19.0,15.0,,20.0,,13.0,24.0,1.0,,8.0,16.0,23.0,20.0,9.0,,16.0,,23.0,11.0,13.0,4.0,,,,2.0,1.0,11.0,13.0,21.0,13.0,21.0,23.0,12.0
19009,2025-10-13_Olga6/,2-MIX,0.0,9.0,1.0,0.0,0.0,1.0,7.0,4.0,0.0,8.0,0.0,2.0,,14.0,23.0,,,27.0,22.0,22.0,,14.0,,22.0,,10.0,21.0,,,17.0,14.0,16.0,,8.0,,18.0,0.0,,,,,,1.0,0.0,0.0,22.0,,,22.0,,
19010,2025-10-13_Olga6/,2-MIX,2.0,11.0,1.0,2.0,1.0,1.0,3.0,10.0,0.0,2.0,0.0,2.0,20.0,16.0,19.0,14.0,23.0,20.0,19.0,14.0,,19.0,,13.0,21.0,12.0,25.0,24.0,21.0,24.0,16.0,13.0,,24.0,,24.0,4.0,14.0,12.0,,,,1.0,3.0,2.0,13.0,15.0,13.0,31.0,20.0,31.0
19011,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,13.0,,,,,,,,,,,,31.0,0.0,,,,,,0.0,0.0,0.0,,,,,,
20002,2025-10-13_Olga6/,2-MIX,,42.0,11.0,7.0,0.0,19.0,7.0,37.0,,14.0,0.0,0.0,,14.0,27.0,13.0,,27.0,13.0,13.0,,13.0,,,,14.0,14.0,26.0,,13.0,23.0,17.0,,18.0,,,,,,,,,5.0,,0.0,17.0,,,18.0,,
20003,2025-10-13_Olga6/,2-MIX,0.0,9.0,0.0,1.0,1.0,2.0,8.0,15.0,1.0,1.0,0.0,0.0,,14.0,,15.0,17.0,14.0,16.0,13.0,15.0,14.0,,,,23.0,,29.0,27.0,26.0,21.0,15.0,29.0,30.0,,,7.0,14.0,17.0,,,,0.0,0.0,0.0,,,,,,
20004,2025-10-13_Olga6/,2-MIX,2.0,18.0,1.0,11.0,2.0,2.0,9.0,16.0,2.0,0.0,0.0,1.0,18.0,13.0,19.0,13.0,14.0,16.0,15.0,13.0,14.0,,,16.0,25.0,22.0,25.0,25.0,21.0,24.0,22.0,17.0,25.0,,,28.0,14.0,13.0,21.0,,,,0.0,4.0,1.0,,13.0,13.0,,25.0,31.0
20005,2025-10-13_Olga6/,2-MIX,2.0,28.0,0.0,23.0,0.0,2.0,10.0,15.0,0.0,7.0,0.0,1.0,18.0,14.0,,13.0,,16.0,15.0,13.0,,13.0,,14.0,15.0,13.0,,20.0,,13.0,15.0,15.0,,21.0,,30.0,14.0,13.0,19.0,,,,3.0,1.0,0.0,17.0,31.0,,25.0,13.0,
20006,2025-10-13_Olga6/,2-MIX,4.0,64.0,2.0,142.0,4.0,1.0,10.0,94.0,2.0,35.0,0.0,5.0,14.0,13.0,18.0,13.0,13.0,33.0,15.0,13.0,29.0,13.0,,13.0,24.0,6.0,24.0,7.0,8.0,11.0,9.0,7.0,15.0,8.0,,11.0,22.0,13.0,10.0,,,,25.0,0.0,0.0,13.0,,,12.0,,
20007,2025-10-13_Olga6/,2-MIX,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,,14.0,,,13.0,14.0,,13.0,,,13.0,,,30.0,,,31.0,30.0,,31.0,,,31.0,,1.0,13.0,31.0,,,,0.0,1.0,0.0,,13.0,,,31.0,
20008,2025-10-13_Olga6/,2-MIX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,,,,,,,,26.0,,,13.0,12.0,,,,,,,,18.0,,,31.0,0.0,,,,,,0.0,0.0,1.0,,,13.0,,,31.0
20009,2025-10-13_Olga6/,2-MIX,3.0,11.0,0.0,6.0,4.0,1.0,5.0,17.0,0.0,5.0,0.0,2.0,14.0,14.0,,14.0,15.0,22.0,19.0,13.0,,19.0,,15.0,23.0,19.0,,21.0,27.0,22.0,18.0,9.0,,9.0,,22.0,10.0,14.0,13.0,,,,0.0,1.0,1.0,,14.0,13.0,,30.0,31.0
20010,2025-10-13_Olga6/,2-MIX,3.0,83.0,16.0,132.0,1.0,1.0,14.0,87.0,0.0,15.0,0.0,4.0,14.0,13.0,13.0,13.0,24.0,15.0,13.0,13.0,,13.0,,13.0,15.0,6.0,7.0,6.0,20.0,29.0,14.0,6.0,,10.0,,27.0,62.0,13.0,6.0,,,,12.0,6.0,0.0,13.0,13.0,,10.0,24.0,
20011,2025-10-13_Olga6/,2-MIX,1.0,10.0,0.0,1.0,2.0,1.0,3.0,19.0,0.0,6.0,0.0,2.0,17.0,14.0,,15.0,13.0,18.0,19.0,13.0,,13.0,,13.0,27.0,17.0,,29.0,31.0,26.0,20.0,12.0,,20.0,,14.0,1.0,16.0,28.0,,,,5.0,0.0,1.0,13.0,,13.0,30.0,,31.0
20012,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14.0,,,,,,,,,,,,30.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,
20013,2025-10-13_Olga6/,2-MIX,1.0,16.0,2.0,6.0,0.0,0.0,6.0,27.0,2.0,8.0,0.0,3.0,19.0,14.0,20.0,13.0,,,18.0,14.0,16.0,13.0,,13.0,25.0,15.0,13.0,26.0,,,16.0,15.0,10.0,13.0,,24.0,7.0,13.0,13.0,,,,2.0,0.0,0.0,13.0,,,25.0,,
20014,2025-10-13_Olga6/,2-MIX,4.0,69.0,0.0,112.0,4.0,2.0,9.0,42.0,0.0,21.0,,3.0,13.0,13.0,,13.0,16.0,14.0,22.0,14.0,,13.0,,18.0,20.0,0.0,,9.0,12.0,8.0,13.0,8.0,,2.0,,9.0,24.0,13.0,8.0,,,,11.0,26.0,2.0,13.0,22.0,14.0,9.0,0.0,29.0
20015,2025-10-13_Olga6/,2-MIX,1.0,19.0,11.0,13.0,1.0,0.0,4.0,25.0,1.0,24.0,0.0,1.0,23.0,14.0,13.0,13.0,13.0,,19.0,13.0,16.0,13.0,,13.0,21.0,9.0,8.0,11.0,31.0,,16.0,11.0,28.0,11.0,,31.0,11.0,14.0,11.0,,,,7.0,1.0,0.0,13.0,19.0,,19.0,25.0,
20016,2025-10-13_Olga6/,2-MIX,9.0,31.0,0.0,21.0,,2.0,6.0,27.0,2.0,11.0,0.0,1.0,14.0,14.0,,14.0,,14.0,16.0,13.0,14.0,13.0,,14.0,7.0,5.0,,16.0,,12.0,11.0,9.0,24.0,24.0,,30.0,10.0,13.0,9.0,,,,5.0,2.0,0.0,13.0,15.0,,27.0,26.0,
20017,2025-10-13_Olga6/,2-MIX,28.0,101.0,15.0,138.0,1.0,1.0,13.0,92.0,1.0,7.0,1.0,3.0,13.0,14.0,13.0,13.0,20.0,14.0,14.0,13.0,18.0,14.0,13.0,13.0,10.0,0.0,23.0,2.0,24.0,30.0,5.0,1.0,26.0,5.0,31.0,25.0,63.0,13.0,3.0,,,,3.0,7.0,11.0,14.0,14.0,13.0,28.0,26.0,12.0
20018,2025-10-13_Olga6/,2-MIX,1.0,80.0,6.0,80.0,,1.0,6.0,79.0,0.0,29.0,0.0,3.0,20.0,13.0,14.0,13.0,,30.0,23.0,13.0,,13.0,,30.0,24.0,0.0,4.0,0.0,,14.0,7.0,0.0,,0.0,,5.0,23.0,14.0,4.0,,,,6.0,1.0,1.0,13.0,31.0,13.0,14.0,13.0,31.0
20019,2025-10-13_Olga6/,2-MIX,1.0,24.0,0.0,10.0,0.0,0.0,4.0,13.0,0.0,6.0,1.0,1.0,33.0,14.0,,14.0,,,23.0,14.0,,15.0,16.0,13.0,11.0,6.0,,11.0,,,17.0,8.0,,13.0,28.0,31.0,14.0,14.0,11.0,,,,2.0,0.0,1.0,15.0,,13.0,26.0,,31.0
20020,2025-10-13_Olga6/,2-MIX,0.0,14.0,0.0,0.0,0.0,1.0,7.0,16.0,0.0,4.0,0.0,1.0,,14.0,,,,25.0,19.0,14.0,,17.0,,14.0,,18.0,,,,19.0,19.0,16.0,,13.0,,30.0,4.0,14.0,17.0,,,,0.0,0.0,0.0,,,,,,
20021,2025-10-13_Olga6/,2-MIX,1.0,25.0,0.0,15.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,14.0,13.0,,13.0,,,24.0,15.0,13.0,,,,30.0,7.0,,18.0,,,20.0,9.0,31.0,,,,10.0,13.0,11.0,,,,1.0,1.0,0.0,27.0,15.0,,17.0,29.0,
21002,2025-10-13_Olga6/,2-MIX,0.0,12.0,2.0,2.0,4.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,,14.0,14.0,14.0,13.0,13.0,20.0,14.0,,,,,,11.0,27.0,27.0,21.0,30.0,12.0,9.0,,,,,2.0,14.0,25.0,,,,0.0,0.0,1.0,,,13.0,,,31.0
21003,2025-10-13_Olga6/,2-MIX,9.0,104.0,4.0,112.0,3.0,3.0,16.0,55.0,0.0,3.0,0.0,2.0,14.0,13.0,14.0,13.0,14.0,13.0,13.0,14.0,,13.0,,13.0,4.0,4.0,14.0,6.0,18.0,23.0,9.0,5.0,,27.0,,20.0,24.0,14.0,5.0,,,,3.0,1.0,0.0,14.0,15.0,,27.0,29.0,
21004,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,3.0,0.0,40.0,,0.0,0.0,0.0,0.0,,,,,12.0,,3.0,,,,,,,,,,22.0,,17.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,
21005,2025-10-13_Olga6/,2-MIX,3.0,38.0,2.0,85.0,3.0,3.0,7.0,68.0,0.0,7.0,0.0,2.0,13.0,13.0,13.0,13.0,20.0,14.0,14.0,13.0,,13.0,,15.0,23.0,12.0,29.0,13.0,15.0,27.0,20.0,12.0,,14.0,,18.0,21.0,14.0,12.0,,,,2.0,4.0,1.0,13.0,16.0,13.0,28.0,25.0,31.0
21006,2025-10-13_Olga6/,2-MIX,1.0,23.0,0.0,8.0,3.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,36.0,13.0,,15.0,12.0,,21.0,17.0,,13.0,,,8.0,8.0,,7.0,14.0,,12.0,8.0,,31.0,,,22.0,14.0,7.0,,,,0.0,1.0,1.0,,14.0,13.0,,30.0,31.0
21007,2025-10-13_Olga6/,2-MIX,0.0,14.0,1.0,3.0,0.0,1.0,5.0,12.0,0.0,1.0,1.0,0.0,,14.0,31.0,14.0,,26.0,19.0,13.0,,19.0,13.0,,,14.0,13.0,14.0,,18.0,18.0,15.0,,25.0,31.0,,8.0,15.0,18.0,,,,0.0,2.0,0.0,,14.0,,,26.0,
21009,2025-10-13_Olga6/,2-MIX,2.0,16.0,1.0,15.0,0.0,0.0,2.0,28.0,1.0,2.0,0.0,1.0,27.0,13.0,14.0,13.0,,,24.0,13.0,15.0,31.0,,40.0,15.0,5.0,30.0,27.0,,,17.0,5.0,29.0,9.0,,4.0,14.0,14.0,6.0,,,,0.0,4.0,0.0,,15.0,,,14.0,
21010,2025-10-13_Olga6/,2-MIX,1.0,16.0,1.0,15.0,0.0,0.0,2.0,14.0,1.0,1.0,1.0,0.0,13.0,15.0,22.0,13.0,,,24.0,18.0,30.0,27.0,13.0,,31.0,4.0,22.0,8.0,,,13.0,10.0,14.0,17.0,31.0,,8.0,14.0,14.0,,,,1.0,0.0,1.0,26.0,,12.0,18.0,,32.0
21012,2025-10-13_Olga6/,2-MIX,0.0,13.0,0.0,7.0,1.0,1.0,8.0,4.0,0.0,14.0,0.0,1.0,,17.0,,13.0,31.0,23.0,16.0,23.0,,13.0,,13.0,,10.0,,12.0,13.0,21.0,17.0,16.0,,11.0,,31.0,8.0,16.0,13.0,,,,5.0,3.0,2.0,13.0,14.0,13.0,13.0,28.0,31.0
21014,2025-10-13_Olga6/,2-MIX,4.0,110.0,3.0,139.0,18.0,1.0,20.0,,0.0,11.0,2.0,2.0,17.0,14.0,15.0,13.0,13.0,16.0,22.0,,,13.0,13.0,30.0,3.0,1.0,3.0,2.0,4.0,28.0,0.0,,,4.0,17.0,3.0,34.0,14.0,3.0,,,,7.0,5.0,3.0,14.0,15.0,14.0,4.0,7.0,20.0
21015,2025-10-13_Olga6/,2-MIX,2.0,18.0,1.0,8.0,0.0,1.0,5.0,20.0,1.0,3.0,0.0,0.0,23.0,14.0,31.0,14.0,,31.0,17.0,13.0,30.0,15.0,,,14.0,13.0,13.0,15.0,,13.0,14.0,13.0,14.0,12.0,,,4.0,14.0,13.0,,,,,2.0,1.0,,17.0,13.0,,13.0,31.0
21016,2025-10-13_Olga6/,2-MIX,1.0,18.0,0.0,11.0,6.0,1.0,5.0,8.0,0.0,2.0,1.0,0.0,14.0,14.0,,14.0,17.0,14.0,17.0,21.0,,13.0,13.0,,30.0,5.0,,23.0,7.0,30.0,12.0,9.0,,29.0,31.0,,5.0,16.0,17.0,,,,2.0,1.0,2.0,14.0,26.0,13.0,28.0,18.0,31.0
21017,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,22.0,,,,,,,,,,,,22.0,,,,,,,1.0,19.0,25.0,,,,0.0,0.0,1.0,,,13.0,,,31.0
21019,2025-10-13_Olga6/,2-MIX,3.0,25.0,0.0,21.0,5.0,0.0,4.0,20.0,1.0,6.0,0.0,0.0,17.0,13.0,,13.0,16.0,,23.0,13.0,32.0,13.0,,,11.0,8.0,,25.0,9.0,,7.0,8.0,12.0,12.0,,,10.0,13.0,19.0,,,,3.0,2.0,0.0,14.0,16.0,,23.0,24.0,
21020,2025-10-13_Olga6/,2-MIX,0.0,58.0,7.0,63.0,10.0,2.0,9.0,38.0,0.0,16.0,0.0,1.0,,14.0,14.0,13.0,16.0,19.0,17.0,13.0,,14.0,,32.0,,15.0,12.0,21.0,3.0,23.0,20.0,13.0,,12.0,,12.0,19.0,14.0,15.0,,,,11.0,5.0,1.0,14.0,14.0,13.0,12.0,21.0,31.0
22002,2025-10-13_Olga6/,2-MIX,1.0,18.0,2.0,4.0,0.0,1.0,4.0,24.0,0.0,23.0,0.0,0.0,17.0,14.0,14.0,16.0,,15.0,15.0,13.0,,13.0,,,27.0,14.0,27.0,26.0,,29.0,20.0,16.0,,25.0,,,7.0,13.0,26.0,,,,9.0,3.0,0.0,13.0,14.0,,22.0,27.0,
22003,2025-10-13_Olga6/,2-MIX,1.0,31.0,4.0,35.0,4.0,1.0,5.0,10.0,2.0,1.0,,0.0,25.0,14.0,13.0,14.0,18.0,16.0,17.0,13.0,13.0,21.0,,,19.0,13.0,17.0,15.0,20.0,28.0,24.0,15.0,29.0,23.0,,,21.0,13.0,14.0,,,,0.0,1.0,1.0,,17.0,13.0,,27.0,31.0
22004,2025-10-13_Olga6/,2-MIX,4.0,32.0,1.0,12.0,8.0,1.0,6.0,25.0,0.0,1.0,1.0,1.0,15.0,14.0,22.0,14.0,15.0,14.0,16.0,13.0,,16.0,14.0,14.0,21.0,12.0,22.0,20.0,15.0,30.0,21.0,13.0,,28.0,30.0,30.0,11.0,13.0,18.0,,,,0.0,2.0,0.0,,15.0,,,28.0,
22005,2025-10-13_Olga6/,2-MIX,3.0,17.0,0.0,5.0,2.0,0.0,4.0,15.0,0.0,3.0,1.0,2.0,14.0,14.0,,15.0,13.0,,19.0,13.0,,15.0,14.0,13.0,16.0,13.0,,26.0,23.0,,21.0,12.0,,12.0,30.0,31.0,8.0,14.0,14.0,,,,2.0,3.0,0.0,15.0,14.0,,29.0,27.0,
22006,2025-10-13_Olga6/,2-MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,30.0,,30.0,,,,,,,,,,14.0,,14.0,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,
22007,2025-10-13_Olga6/,2-MIX,0.0,2.0,,0.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,,14.0,,,13.0,,,,,23.0,,,,24.0,,,31.0,,,,,21.0,,,,,,,,,0.0,,0.0,,,,,,
22008,2025-10-13_Olga6/,2-MIX,2.0,42.0,0.0,64.0,6.0,1.0,8.0,20.0,2.0,14.0,0.0,1.0,14.0,14.0,,14.0,13.0,16.0,16.0,13.0,15.0,13.0,,13.0,23.0,13.0,,23.0,11.0,28.0,17.0,11.0,26.0,15.0,,31.0,11.0,13.0,17.0,,,,8.0,1.0,0.0,14.0,14.0,,17.0,30.0,
22009,2025-10-13_Olga6/,2-MIX,1.0,22.0,1.0,22.0,2.0,1.0,5.0,30.0,1.0,5.0,0.0,0.0,21.0,14.0,20.0,14.0,13.0,20.0,14.0,13.0,20.0,13.0,,,23.0,18.0,24.0,25.0,29.0,24.0,20.0,14.0,24.0,13.0,,,7.0,13.0,18.0,,,,3.0,1.0,1.0,13.0,20.0,13.0,21.0,24.0,31.0
22010,2025-10-13_Olga6/,2-MIX,3.0,17.0,0.0,22.0,,1.0,4.0,15.0,1.0,2.0,0.0,2.0,15.0,14.0,,14.0,,30.0,18.0,14.0,16.0,14.0,,15.0,24.0,12.0,,26.0,,14.0,17.0,9.0,28.0,28.0,,14.0,8.0,13.0,11.0,,,,2.0,3.0,0.0,14.0,16.0,,28.0,16.0,
22011,2025-10-13_Olga6/,2-MIX,2.0,11.0,0.0,3.0,0.0,0.0,4.0,11.0,0.0,3.0,0.0,1.0,15.0,15.0,,14.0,,,15.0,13.0,,17.0,,13.0,21.0,13.0,,22.0,,,21.0,12.0,,17.0,,31.0,0.0,,,,,,1.0,0.0,0.0,14.0,,,30.0,,
22012,2025-10-13_Olga6/,2-MIX,2.0,21.0,0.0,8.0,0.0,1.0,11.0,15.0,1.0,9.0,0.0,2.0,23.0,14.0,,14.0,,32.0,17.0,14.0,31.0,15.0,,13.0,12.0,4.0,,23.0,,12.0,15.0,7.0,13.0,6.0,,27.0,10.0,14.0,10.0,,,,2.0,1.0,2.0,15.0,32.0,13.0,27.0,12.0,31.0
22013,2025-10-13_Olga6/,2-MIX,1.0,,1.0,,6.0,1.0,4.0,,0.0,9.0,0.0,3.0,26.0,,21.0,,24.0,33.0,27.0,,,14.0,,17.0,18.0,,23.0,,8.0,11.0,14.0,,,21.0,,11.0,14.0,15.0,13.0,,,,,2.0,2.0,,15.0,13.0,,22.0,31.0
22014,2025-10-13_Olga6/,2-MIX,11.0,160.0,21.0,205.0,5.0,7.0,32.0,,1.0,32.0,0.0,12.0,16.0,14.0,13.0,13.0,14.0,14.0,14.0,,18.0,13.0,,13.0,12.0,13.0,23.0,13.0,26.0,25.0,13.0,,26.0,20.0,,24.0,45.0,13.0,15.0,,,,16.0,,1.0,13.0,,13.0,22.0,,31.0
22015,2025-10-13_Olga6/,2-MIX,20.0,59.0,10.0,121.0,1.0,1.0,12.0,,2.0,6.0,0.0,1.0,15.0,14.0,14.0,14.0,27.0,14.0,17.0,,16.0,14.0,,15.0,17.0,11.0,17.0,15.0,17.0,30.0,19.0,,28.0,13.0,,29.0,30.0,14.0,12.0,,,,3.0,6.0,1.0,15.0,14.0,13.0,20.0,24.0,31.0
22016,2025-10-13_Olga6/,2-MIX,0.0,20.0,0.0,10.0,3.0,,5.0,8.0,0.0,0.0,0.0,2.0,,14.0,,14.0,16.0,,25.0,13.0,,,,13.0,,10.0,,13.0,12.0,,15.0,13.0,,,,10.0,12.0,13.0,9.0,,,,0.0,1.0,1.0,,34.0,13.0,,10.0,31.0
22017,2025-10-13_Olga6/,2-MIX,1.0,11.0,0.0,2.0,0.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,14.0,14.0,,15.0,,,18.0,14.0,14.0,,,,30.0,10.0,,24.0,,,21.0,10.0,30.0,,,,7.0,15.0,17.0,,,,0.0,0.0,0.0,,,,,,
